item_id,image,description,answer,n
15,all,несколькими,1,3
13,local,частью,1,7
16,false,некоторыми,0,9
14,literal,какими-то,1,10
5,all,частью,1,0
8,literal,некоторыми,1,3
6,false,какими-то,0,5
7,local,несколькими,0,9
9,literal,частью,1,0
9,literal,частью,1,0
10,all,какими-то,1,3
10,all,какими-то,1,6
12,local,некоторыми,1,7
10,all,какими-то,1,1
11,false,несколькими,0,9
11,false,несколькими,0,7
12,local,некоторыми,0,11
11,false,несколькими,0,6
9,literal,частью,0,8
13,local,частью,1,0
11,false,несколькими,0,3
12,local,некоторыми,1,11
14,literal,какими-то,1,3
13,local,частью,1,2
9,literal,частью,1,4
16,false,некоторыми,0,5
15,all,несколькими,1,3
10,all,какими-то,1,8
12,local,некоторыми,0,9
15,all,несколькими,1,10
14,literal,какими-то,1,9
16,false,некоторыми,0,10
11,false,несколькими,0,1
8,literal,некоторыми,0,2
13,local,частью,0,2
12,local,некоторыми,1,6
5,all,частью,1,5
15,all,несколькими,1,1
9,literal,частью,0,7
13,local,частью,1,2
15,all,несколькими,1,6
16,false,некоторыми,0,3
14,literal,какими-то,1,4
16,false,некоторыми,0,7
6,false,какими-то,0,1
14,literal,какими-то,1,8
10,all,какими-то,1,10
5,all,частью,1,2
7,local,несколькими,1,9
6,false,какими-то,0,11
7,local,несколькими,0,4
8,literal,некоторыми,1,7
11,false,несколькими,0,7
10,all,какими-то,1,8
9,literal,частью,0,9
12,local,некоторыми,1,10
13,local,частью,0,4
16,false,некоторыми,0,5
15,all,несколькими,0,6
14,literal,какими-то,1,7
11,false,несколькими,0,0
10,all,какими-то,1,1
9,literal,частью,1,7
12,local,некоторыми,0,9
2,literal,какими-то,1,1
4,false,некоторыми,0,6
1,all,частью,1,7
3,local,несколькими,1,11
12,local,некоторыми,0,0
10,all,какими-то,1,5
11,false,несколькими,0,7
9,literal,частью,1,8
1,all,частью,1,0
2,literal,какими-то,1,1
3,local,несколькими,0,7
4,false,некоторыми,0,8
1,all,частью,1,1
4,false,некоторыми,0,2
3,local,несколькими,0,7
2,literal,какими-то,1,9
13,local,частью,1,0
16,false,некоторыми,0,4
15,all,несколькими,1,5
14,literal,какими-то,1,8
5,all,частью,1,3
7,local,несколькими,0,4
6,false,какими-то,0,6
1,all,частью,1,5
1,all,частью,1,1
4,false,некоторыми,0,7
3,local,несколькими,0,9
2,literal,какими-то,1,10
16,false,некоторыми,0,0
4,false,некоторыми,0,5
2,literal,какими-то,1,6
8,literal,некоторыми,0,10
3,local,несколькими,0,7
13,local,частью,1,2
16,false,некоторыми,0,1
14,literal,какими-то,0,5
14,literal,какими-то,1,3
15,all,несколькими,1,4
1,all,частью,1,0
15,all,несколькими,1,11
3,local,несколькими,1,2
13,local,частью,1,7
4,false,некоторыми,0,4
2,literal,какими-то,1,5
6,false,какими-то,0,1
5,all,частью,1,2
8,literal,некоторыми,1,6
7,local,несколькими,0,9
11,false,несколькими,0,0
12,local,некоторыми,0,5
16,false,некоторыми,0,0
9,literal,частью,1,7
10,all,какими-то,1,10
13,local,частью,1,4
14,literal,какими-то,1,5
12,local,некоторыми,1,3
15,all,несколькими,1,7
10,all,какими-то,1,5
9,literal,частью,0,9
13,local,частью,1,3
11,false,несколькими,0,11
14,literal,какими-то,1,9
15,all,несколькими,1,10
16,false,некоторыми,0,11
1,all,частью,1,5
3,local,несколькими,0,7
2,literal,какими-то,0,8
4,false,некоторыми,0,10
15,all,несколькими,1,1
13,local,частью,1,2
14,literal,какими-то,1,7
16,false,некоторыми,0,9
7,local,несколькими,0,1
6,false,какими-то,0,2
16,false,некоторыми,0,2
8,literal,некоторыми,1,0
14,literal,какими-то,1,5
5,all,частью,1,8
5,all,частью,1,1
15,all,несколькими,1,8
8,literal,некоторыми,1,10
13,local,частью,0,9
6,false,какими-то,0,5
7,local,несколькими,0,7
7,local,несколькими,0,0
8,literal,некоторыми,0,1
6,false,какими-то,0,7
5,all,частью,1,9
2,literal,какими-то,1,2
1,all,частью,1,5
3,local,несколькими,0,8
8,literal,некоторыми,1,0
4,false,некоторыми,0,10
6,false,какими-то,0,4
5,all,частью,1,6
7,local,несколькими,1,7
16,false,некоторыми,0,0
13,local,частью,1,1
14,literal,какими-то,1,2
15,all,несколькими,1,3
2,literal,какими-то,1,6
1,all,частью,1,7
3,local,несколькими,0,9
4,false,некоторыми,0,11
2,literal,какими-то,1,0
2,literal,какими-то,1,0
1,all,частью,1,7
3,local,несколькими,0,9
4,false,некоторыми,0,3
4,false,некоторыми,0,11
